user_id,following
1862,"[32,38]"
1863,"[40,2751,145]"
1864,"[34,30,669,32,19241]"
1868,[30]
1871,[32]
1873,"[32,36]"
1874,[21]
1876,[37]
1880,"[37,30,32]"
1881,[34]
1883,[2751]
1887,[4231]
1888,"[4129,34,8334]"
1889,[21]
1892,[32]
1894,"[30,145,33,42,37,21,4298,22671,8334,3881,19241,12411,21771,10657,2751,3316,22670,34,13199,12812,12770,2977,12158,41]"
1896,[32]
1897,"[669,34]"
1899,[30]
1903,[38]
1904,[34]
1905,[34]
1910,"[38,33,23932]"
1913,"[3316,2977,3881,32]"
1921,[669]
1932,"[30,669]"
1933,"[21,4298]"
1934,[21]
1935,"[32,49,34]"
1936,[34]
1938,[32]
1939,[34]
1942,[30]
1943,[145]
1944,"[669,37]"
1946,[34]
1947,[19023]
1953,[31]
1956,[4129]
1957,[669]
1960,"[318,36]"
1961,[21]
1962,"[34,21,30,37,32,669,2751]"
1968,"[34,30]"
1970,[21]
1972,[49]
1973,[49]
1975,"[669,32]"
1976,[669]
1979,"[32,37]"
1980,"[32,41,3013]"
1981,[32]
1985,[34]
1986,"[145,4217]"
1990,[3316]
1991,[34]
1994,[49]
1995,"[30,21,32,37]"
2002,[30]
2004,[41]
2006,[34]
2007,[34]
2008,[34]
2009,"[34,21,19023,2977,2751]"
2011,[31]
2014,[34]
2015,[34]
2017,[32]
2018,[34]
2020,[34]
2022,"[30,34]"
2026,[669]
2027,[34]
2029,[2751]
2032,[34]
2034,[34]
2036,[669]
2038,[21]
2040,[34]
2041,[30]
2043,"[34,30]"
2044,"[34,669]"
2048,[34]
2052,[34]
2054,[669]
2056,[34]
2058,[32]
2059,[34]
2060,[30]
2061,[32]
2067,[32]
2069,[4129]
2074,"[34,669]"
2075,"[32,33]"
2078,[33]
2079,[34]
2082,[30]
2084,[34]
2085,"[21,49,40]"
2089,"[32,34]"
2096,"[34,32]"
2104,[34]
2108,[32]
2110,[32]
2111,"[2751,4298,32]"
2112,[34]
2117,[34]
2120,[32]
2123,[34]
2125,[34]
2129,[30]
2133,"[32,2751]"
2134,[34]
2135,[37]
2137,[3343]
2142,[37]
2144,[34]
2147,[32]
2148,"[32,34]"
2149,[41]
2150,[34]
2151,[2751]
2154,"[40,21]"
2155,"[145,30]"
2156,"[32,30]"
2157,"[32,19023]"
